team_0,team_0_ranking,team_0_rating_average,team_0_k_total,team_0_a_total,team_0_d_total,team_0_k_avarage,team_0_a_avarage,team_0_d_avarage,team_0_adr_avarage,team_1,team_1_ranking,team_1_rating_average,team_1_k_total,team_1_a_total,team_1_d_total,team_1_k_avarage,team_1_a_avarage,team_1_d_avarage,team_1_adr_avarage,delta_ranking,delta_rating,delta_kills,delta_assists,delta_deaths,delta_adr,winner
Spirit Spirit,1, 1.20,85,24,73, 17.00, 4.80, 14.60, 75.50,HEROIC HEROIC,19, 0.92,73,31,85, 14.60, 6.20, 17.00, 70.38,-18, 0.28,12,-7,-12, 25.6,0
Spirit Spirit,1, 1.47,67,12,43, 13.40, 2.40, 8.60, 86.08,HEROIC HEROIC,19, 0.65,43,10,68, 8.60, 2.00, 13.60, 60.48,-18, 0.82,24,2,-25, 128.0,0
G2 G2,2, 1.58,64,25,43, 12.80, 5.00, 8.60, 87.38,BetBoom BetBoom,16, 0.68,43,14,65, 8.60, 2.80, 13.00, 62.88,-14, 0.90,21,11,-22, 122.5,0
G2 G2,2, 1.43,65,35,47, 13.00, 7.00, 9.40, 84.18,BetBoom BetBoom,16, 0.74,46,16,65, 9.20, 3.20, 13.00, 66.56,-14, 0.69,19,19,-18, 88.1,0
Vitality Vitality,4, 0.84,58,16,73, 11.60, 3.20, 14.60, 64.00,Eternal Fire Eternal Fire,13, 1.20,72,25,59, 14.40, 5.00, 11.80, 71.44,-9,-0.36,-14,-9,14,-37.2,1
Vitality Vitality,4, 1.02,76,28,82, 15.20, 5.60, 16.40, 68.38,Eternal Fire Eternal Fire,13, 1.10,82,26,76, 16.40, 5.20, 15.20, 73.56,-9,-0.08,-6,2,6,-25.9,1
Natus Vincere Natus Vincere,4, 1.13,100,36,94, 20.00, 7.20, 18.80, 76.42,paiN paiN,12, 1.01,94,32,101, 18.80, 6.40, 20.20, 71.34,-8, 0.12,6,4,-7, 25.4,0
Natus Vincere Natus Vincere,4, 0.90,60,11,73, 12.00, 2.20, 14.60, 68.60,paiN paiN,12, 1.16,73,15,60, 14.60, 3.00, 12.00, 76.06,-8,-0.26,-13,-4,13,-37.3,1
Natus Vincere Natus Vincere,4, 1.17,95,33,77, 19.00, 6.60, 15.40, 70.90,paiN paiN,12, 0.79,77,26,96, 15.40, 5.20, 19.20, 59.86,-8, 0.38,18,7,-19, 55.2,0
G2 G2,2, 1.15,85,31,78, 17.00, 6.20, 15.60, 77.34,Eternal Fire Eternal Fire,13, 1.00,78,28,85, 15.60, 5.60, 17.00, 71.58,-11, 0.15,7,3,-7, 28.8,1
G2 G2,2, 1.09,69,32,66, 13.80, 6.40, 13.20, 68.08,Eternal Fire Eternal Fire,13, 0.96,66,35,69, 13.20, 7.00, 13.80, 68.94,-11, 0.13,3,-3,-3,-4.3,0
G2 G2,2, 0.99,75,28,86, 15.00, 5.60, 17.20, 71.18,Eternal Fire Eternal Fire,13, 1.14,86,24,75, 17.20, 4.80, 15.00, 80.86,-11,-0.15,-11,4,11,-48.4,0
Natus Vincere Natus Vincere,3, 0.86,58,18,75, 11.60, 3.60, 15.00, 60.66,Spirit Spirit,1, 1.15,75,25,58, 15.00, 5.00, 11.60, 73.56,2,-0.29,-17,-7,17,-64.5,1
Natus Vincere Natus Vincere,3, 1.01,135,55,139, 27.00, 11.00, 27.80, 70.60,Spirit Spirit,1, 1.06,139,58,138, 27.80, 11.60, 27.60, 71.84,2,-0.05,-4,-3,1,-6.2,1
Eternal Fire Eternal Fire,13, 1.04,103,41,101, 20.60, 8.20, 20.20, 75.60,Spirit Spirit,1, 1.04,100,34,106, 20.00, 6.80, 21.20, 72.74,12, 0.00,3,7,-5, 14.3,0
Eternal Fire Eternal Fire,13, 0.83,57,16,73, 11.40, 3.20, 14.60, 70.78,Spirit Spirit,1, 1.27,73,24,60, 14.60, 4.80, 12.00, 81.66,12,-0.44,-16,-8,13,-54.4,1
